fund_code,fund_name,revenue_group_type,revenue_category,revenue_source,estimated_revenue
0100,Corporate Fund,Local Tax,Municipal Public Utility Tax,Cable Television,19500000
0100,Corporate Fund,Local Tax,Municipal Public Utility Tax,Electric,96482000
0100,Corporate Fund,Local Tax,Municipal Public Utility Tax,Electricity IMF,88640000
0100,Corporate Fund,Local Tax,Municipal Public Utility Tax,Gas,112544000
0100,Corporate Fund,Local Tax,Municipal Public Utility Tax,Natural Gas Use Tax,32659000
0100,Corporate Fund,Local Tax,Municipal Public Utility Tax,Telecommunications,57429000
0100,Corporate Fund,Local Tax,Chicago Sales Tax / Home Rule Retailers' Occupation Tax,Chicago Sales Tax / HROT,96052000
0100,Corporate Fund,Local Tax,Transaction Taxes,Lease of Personal Property,647730000
0100,Corporate Fund,Local Tax,Transaction Taxes,Motor Vehicle Lessor Tax,5791000
0100,Corporate Fund,Local Tax,Transaction Taxes,Real Property Transfer,142178000
0100,Corporate Fund,Local Tax,Transportation Taxes,Ground Transportation Tax,200488000
0100,Corporate Fund,Local Tax,Transportation Taxes,Parking Tax,142799000
0100,Corporate Fund,Local Tax,Transportation Taxes,Vehicle Fuel Tax,59777000
0100,Corporate Fund,Local Tax,Recreation Taxes,Amusement Tax,262650000
0100,Corporate Fund,Local Tax,Recreation Taxes,Auto Amusement Tax,291000
0100,Corporate Fund,Local Tax,Recreation Taxes,Boat Mooring Tax,1506000
0100,Corporate Fund,Local Tax,Recreation Taxes,Cannabis Excise Tax,5733000
0100,Corporate Fund,Local Tax,Recreation Taxes,Liquor Tax,31273000
0100,Corporate Fund,Local Tax,Recreation Taxes,Municipal Cigarette Tax,13268000
0100,Corporate Fund,Local Tax,Recreation Taxes,Non-Alcoholic Beverage Tax,29477000
0100,Corporate Fund,Local Tax,Recreation Taxes,Off Track Betting Tax,74000
0100,Corporate Fund,Local Tax,Business Taxes,Hotel Tax,144715000
0100,Corporate Fund,Local Tax,Business Taxes,Shopping Bag Tax,10100000
0100,Corporate Fund,Proceeds and Transfers In,Proceeds and Transfers In,Parking Meter Revenue Replacement Fund Interest,5000000
0100,Corporate Fund,Proceeds and Transfers In,Proceeds and Transfers In,Sales Tax Securitization Corporation Residual,552701000
0100,Corporate Fund,Proceeds and Transfers In,Proceeds and Transfers In,Skyway Long-Term Reserve Interest,23000000
0100,Corporate Fund,Intergovernmental Revenue,State Income Tax,State Income Tax,430293000
0100,Corporate Fund,Intergovernmental Revenue,Personal Property Replacement Tax,Personal Property Replacement Tax,441812000
0100,Corporate Fund,Intergovernmental Revenue,Municipal Auto Rental Tax,Municipal Auto Rental Tax,4210000
0100,Corporate Fund,Intergovernmental Revenue,Reimbursements for City Services,Reimbursements for City Services,2000000
0100,Corporate Fund,Local Non-Tax Revenue,"Licenses, Permits, and Certificates",Alcohol Dealers' License,11639000
0100,Corporate Fund,Local Non-Tax Revenue,"Licenses, Permits, and Certificates",Building Permits,38872000
0100,Corporate Fund,Local Non-Tax Revenue,"Licenses, Permits, and Certificates",Business License,25253000
0100,Corporate Fund,Local Non-Tax Revenue,"Licenses, Permits, and Certificates",Other Permits and Certificates,35700000
0100,Corporate Fund,Local Non-Tax Revenue,"Licenses, Permits, and Certificates",Prior Period Fines,3838000
0100,Corporate Fund,Local Non-Tax Revenue,"Fines, Forfeitures and Penalties","Fines, Forfeitures and Penalties",347876000
0100,Corporate Fund,Local Non-Tax Revenue,Charges for Services,Current Expense,6569000
0100,Corporate Fund,Local Non-Tax Revenue,Charges for Services,Information,1041000
0100,Corporate Fund,Local Non-Tax Revenue,Charges for Services,Inspection,10544000
0100,Corporate Fund,Local Non-Tax Revenue,Charges for Services,Other Charges,34747000
0100,Corporate Fund,Local Non-Tax Revenue,Charges for Services,Safety,377600000
