fund_code,fund_name,revenue_group_type,revenue_category,revenue_source,estimated_revenue
0100,Corporate Fund,Intergovernmental Revenue,Municipal Auto Rental Tax,Municipal Auto Rental Tax,4764652
0100,Corporate Fund,Intergovernmental Revenue,Personal Property Replacement Tax,Personal Property Replacement Tax,276834108
0100,Corporate Fund,Intergovernmental Revenue,Reimbursements for City Services,Reimbursements for City Services,2524932
0100,Corporate Fund,Intergovernmental Revenue,State Income Tax,State Income Tax,456185384
0100,Corporate Fund,Local Non-Tax Revenue,"Licenses, Permits, and Certificates",Alcohol Dealers' License,13531430
0100,Corporate Fund,Local Non-Tax Revenue,"Licenses, Permits, and Certificates",Building Permits,33314420
0100,Corporate Fund,Local Non-Tax Revenue,"Licenses, Permits, and Certificates",Business License,26909974
0100,Corporate Fund,Local Non-Tax Revenue,Charges for Services,Current Expense,9626983
0100,Corporate Fund,Local Non-Tax Revenue,Internal Service Earnings,Enterprise Funds,187319016
0100,Corporate Fund,Local Non-Tax Revenue,"Fines, Forfeitures and Penalties","Fines, Forfeitures and Penalties",345213522
0100,Corporate Fund,Local Non-Tax Revenue,Charges for Services,Information,1001337
0100,Corporate Fund,Local Non-Tax Revenue,Charges for Services,Inspection,10746101
0100,Corporate Fund,Local Non-Tax Revenue,Interest Income,Interest Income,58000000
0100,Corporate Fund,Local Non-Tax Revenue,Internal Service Earnings,Intergovernmental Funds,229705759
0100,Corporate Fund,Local Non-Tax Revenue,Municipal Parking,Municipal Parking,9863019
0100,Corporate Fund,Local Non-Tax Revenue,Charges for Services,Other Charges,35057628
0100,Corporate Fund,Local Non-Tax Revenue,"Licenses, Permits, and Certificates",Other Permits and Certificates,45461389
0100,Corporate Fund,Local Non-Tax Revenue,Internal Service Earnings,Other Reimbursements,10402286
0100,Corporate Fund,Local Non-Tax Revenue,Other Revenue,Other Revenue,155267377
0100,Corporate Fund,Local Non-Tax Revenue,"Licenses, Permits, and Certificates",Prior Period Fines,4487803
0100,Corporate Fund,Local Non-Tax Revenue,"Leases, Rentals and Sales",Rentals and Leases,9791149
0100,Corporate Fund,Local Non-Tax Revenue,Charges for Services,Safety,364693398
0100,Corporate Fund,Local Non-Tax Revenue,"Leases, Rentals and Sales",Sale of Land and Buildings,1955315
0100,Corporate Fund,Local Non-Tax Revenue,"Leases, Rentals and Sales",Sale of Materials,50000
0100,Corporate Fund,Local Non-Tax Revenue,Internal Service Earnings,Special Revenue Funds,90210976
0100,Corporate Fund,Local Non-Tax Revenue,"Leases, Rentals and Sales",Vacation of Streets and Alleys,2000000
0100,Corporate Fund,Local Tax,Recreation Taxes,Amusement Tax,286793543
0100,Corporate Fund,Local Tax,Recreation Taxes,Auto Amusement Tax,299824
0100,Corporate Fund,Local Tax,Recreation Taxes,Boat Mooring Tax,1502922
0100,Corporate Fund,Local Tax,Municipal Public Utility Tax,Cable Television,16125464
0100,Corporate Fund,Local Tax,Recreation Taxes,Cannabis Excise Tax,5459550
0100,Corporate Fund,Local Tax,Chicago Sales Tax / Home Rule Retailers' Occupation Tax,Chicago Sales Tax / HROT,104379272
0100,Corporate Fund,Local Tax,Municipal Public Utility Tax,Electric,90631137
0100,Corporate Fund,Local Tax,Municipal Public Utility Tax,Electricity IMF,81057288
0100,Corporate Fund,Local Tax,Municipal Public Utility Tax,Gas,98518871
0100,Corporate Fund,Local Tax,Transportation Taxes,Ground Transportation Tax,218602527
0100,Corporate Fund,Local Tax,Business Taxes,Hotel Tax,151975915
0100,Corporate Fund,Local Tax,Transaction Taxes,Lease of Personal Property,818125487
0100,Corporate Fund,Local Tax,Recreation Taxes,Liquor Tax,30009662
0100,Corporate Fund,Local Tax,Transaction Taxes,Motor Vehicle Lessor Tax,6197758
0100,Corporate Fund,Local Tax,Recreation Taxes,Municipal Cigarette Tax,14291951
0100,Corporate Fund,Local Tax,Municipal Public Utility Tax,Natural Gas Use Tax,27915801
0100,Corporate Fund,Local Tax,Recreation Taxes,Non-Alcoholic Beverage Tax,32638403
0100,Corporate Fund,Local Tax,Transportation Taxes,Parking Tax,163089256
0100,Corporate Fund,Local Tax,Transaction Taxes,Real Property Transfer,148318139
0100,Corporate Fund,Local Tax,Business Taxes,Shopping Bag Tax,22994383
